surface,tourney_level,round,draw_size,tourney_date_epoch,player_A_name,player_B_name,player_A_hand,player_B_hand,player_A_age,player_B_age,age_diff,player_A_rank,player_B_rank,rank_diff,player_A_rank_points,player_B_rank_points,rank_points_diff
Hard,G,R128,128,1736640000,Jannik Sinner,Nicolas Jarry,R,R,23.4,29.3,-5.9,1,35,-34,11830,1380,10450
Hard,G,R128,128,1736640000,Tristan Schoolkate,Taro Daniel,R,R,23.8,31.9,-8.1,168,84,84,345,674,-329
Hard,G,R128,128,1736640000,Marcos Giron,Yannick Hanfmann,R,R,31.5,33.2,-1.7,46,96,-50,1150,627,523
Hard,G,R128,128,1736640000,Tomas Martin Etcheverry,Flavio Cobolli,R,R,24.5,22.7,1.8,39,32,7,1315,1472,-157
Hard,G,R128,128,1736640000,Hubert Hurkacz,Tallon Griekspoor,R,R,27.9,28.5,-0.6,16,40,-24,2640,1280,1360
Hard,G,R128,128,1736640000,Miomir Kecmanovic,Dusan Lajovic,R,R,25.4,24.7,0.7,54,81,-27,1021,810,211
Hard,G,R128,128,1736640000,Matteo Berrettini,Cameron Norrie,R,L,28.8,29.4,-0.6,34,49,-15,1380,1119,261
Hard,G,R128,128,1736640000,Zhang Zhizhen,Holger Rune,R,R,28.4,21.8,6.6,45,13,32,1155,3025,-1870
Hard,G,R128,128,1736640000,Stefanos Tsitsipas,Alex Michelsen,R,R,26.5,20.5,6,11,41,-30,3165,1245,1920
Hard,G,R128,128,1736640000,James McCabe,Martin Landaluce,R,R,21.5,19,2.5,256,151,105,216,383,-167
Hard,G,R128,128,1736640000,Gabriel Diallo,Luca Nardi,R,R,23.4,21.5,1.9,87,92,-5,643,637,6
Hard,G,R128,128,1736640000,Adrian Mannarino,Karen Khachanov,L,R,36.6,28.7,7.9,66,19,47,779,2410,-1631
Hard,G,R128,128,1736640000,Francisco Cerundolo,Alexander Bublik,R,R,26.5,27.7,-1.2,30,33,-3,1620,1420,200
Hard,G,R128,128,1736640000,Facundo Diaz Acosta,Zizou Bergs,L,R,24.1,25.6,-1.5,79,71,8,714,768,-54
Hard,G,R128,128,1736640000,Tristan Boyer,Federico Coria,R,R,23.7,32.8,-9.1,133,100,33,452,617,-165
Hard,G,R128,128,1736640000,Botic Van De Zandschulp,Alex De Minaur,R,R,29.3,25.9,3.4,80,9,71,712,3745,-3033
Hard,G,R128,128,1736640000,Taylor Fritz,Jenson Brooksby,R,R,27.3,24.3,3,4,466,-462,5100,90,5010
Hard,G,R128,128,1736640000,Borna Coric,Cristian Garin,R,R,28.2,28.7,-0.5,90,152,-62,639,382,257
Hard,G,R128,128,1736640000,Francisco Comesana,Daniel Altmaier,R,R,24.3,26.4,-2.1,85,89,-4,661,640,21
Hard,G,R128,128,1736640000,Gael Monfils,Giovanni Mpetshi Perricard,R,R,38.4,21.5,16.9,55,31,24,1005,1561,-556
Hard,G,R128,128,1736640000,Ben Shelton,Brandon Nakashima,R,R,22.3,23.4,-1.1,21,38,-17,2330,1335,995
